Dates,Open ,High,Low,Close ,Volume,MarketCapita
03-04-2017,48.82,48.82,43.41,44.36,"19,05,12,992","4,00,90,09,196"
02-04-2017,50.74,51.27,45.43,48.75,"13,46,04,000","4,40,44,75,423"
01-04-2017,50.03,51.93,48.88,50.7,"9,24,61,904","4,57,91,87,936"
31-03-2017,51.75,51.77,47.38,50.04,"15,14,16,000","4,51,78,35,716"
30-03-2017,53.12,53.31,51.87,52.21,"8,68,85,696","4,71,19,96,588"
29-03-2017,50.57,53.87,50.55,53.13,"14,49,98,000","4,79,34,24,049"
28-03-2017,49.71,50.96,49.15,50.77,"9,77,45,296","4,57,96,93,493"
27-03-2017,51.31,52.46,48.93,49.67,"11,89,78,000","4,47,82,38,274"
26-03-2017,50.77,51.8,49.28,50.52,"10,68,59,000","4,55,37,38,462"
25-03-2017,53.58,53.58,48.31,51.25,"22,30,59,008","4,61,77,94,703"
24-03-2017,43.64,54.14,43.21,53.11,"29,70,46,016","4,78,35,11,280"
23-03-2017,42.57,44.75,41.3,43.68,"10,07,24,000","3,93,28,63,932"
22-03-2017,43.12,43.52,39.69,42.34,"11,39,52,000","3,81,12,29,796"
21-03-2017,43.51,44.26,42.37,43.15,"9,12,65,400","3,88,21,54,700"
20-03-2017,44.83,46.23,42.44,43.39,"15,47,00,992","3,90,28,62,599"
19-03-2017,35.53,47,35.34,44.74,"23,94,30,000","4,02,28,67,100"
18-03-2017,46.87,46.87,31.7,34.16,"26,21,80,000","3,07,05,00,515"
17-03-2017,45.93,55.11,38.21,46.83,"49,75,34,016","4,20,76,76,009"
16-03-2017,35.36,47.17,35.36,46.35,"45,44,17,984","4,16,28,73,752"
15-03-2017,28.65,35.06,28.43,35.06,"17,03,44,000","3,14,76,89,118"
14-03-2017,28.57,29.93,27.32,28.65,"10,17,97,000","2,57,20,14,998"
13-03-2017,23.5,30.6,23.5,28.59,"25,54,88,000","2,56,55,83,285"
12-03-2017,21.46,23.44,21.38,23.44,"7,46,28,896","2,10,22,76,260"
11-03-2017,19.37,21.59,19.01,21.47,"6,91,50,096","1,92,53,42,939"
10-03-2017,17.74,19.66,17.68,19.33,"8,75,06,800","1,73,28,37,145"
09-03-2017,16.64,17.87,16.37,17.75,"3,14,18,400","1,59,08,79,625"
08-03-2017,18.88,18.88,16.65,16.65,"4,43,04,600","1,49,14,98,830"
07-03-2017,19.58,19.63,18.64,18.89,"3,79,72,200","1,69,13,07,055"
06-03-2017,19.28,20.1,19.11,19.61,"3,24,32,700","1,75,49,07,794"
05-03-2017,18.5,19.42,18.23,19.3,"2,68,16,300","1,72,71,48,626"
04-03-2017,19.52,20.06,18.62,18.62,"2,73,41,900","1,66,54,11,583"
03-03-2017,19.04,20.67,18.41,19.46,"9,58,63,400","1,73,99,49,803"
02-03-2017,17.36,19.35,16.95,19.03,"8,36,27,104","1,70,10,11,948"
01-03-2017,15.85,17.37,15.56,17.35,"4,49,27,500","1,55,02,51,865"
28-02-2017,15.45,16.06,15.12,15.82,"6,54,78,900","1,41,28,25,288"
27-02-2017,14.51,15.68,14.27,15.4,"3,16,67,000","1,37,47,57,041"
26-02-2017,13.52,14.54,13.4,14.52,"2,03,07,500","1,29,60,40,794"
25-02-2017,13.06,13.72,12.98,13.55,"1,85,33,900","1,20,89,11,983"
24-02-2017,13.13,13.23,12.88,13.07,"1,95,74,400","1,16,57,15,765"
23-02-2017,12.6,13.21,12.56,13.12,"1,45,22,300","1,16,97,83,161"
22-02-2017,12.69,12.76,12.55,12.6,"1,03,60,900","1,12,30,50,433"
21-02-2017,12.34,12.77,12.21,12.67,"1,51,83,300","1,12,87,81,640"
20-02-2017,12.77,12.9,12.43,12.43,"1,29,94,400","1,10,71,58,285"
19-02-2017,12.82,12.87,12.71,12.76,"77,99,740","1,13,60,08,890"
18-02-2017,12.71,12.83,12.68,12.81,"93,70,010","1,14,02,11,197"
17-02-2017,12.9,12.91,12.66,12.68,"1,16,36,500","1,12,79,15,204"
