Dates,Open,High,Low,Close,Volume,MarketCap
08-03-2022,0.9998,1,0.9992,1,"40,56,79,813","9,77,76,87,412"
07-03-2022,0.9994,1,0.9987,0.9998,"32,50,45,354","9,89,32,73,423"
06-03-2022,1,1,0.9992,0.9994,"24,50,03,900","9,71,57,80,722"
05-03-2022,0.9997,1,0.9992,1,"21,52,66,906","9,71,28,13,715"
04-03-2022,0.9998,1,0.9988,0.9997,"49,21,35,641","9,72,53,73,677"
03-03-2022,0.9996,1,0.9986,0.9998,"26,20,44,068","9,65,03,26,208"
02-03-2022,1,1,0.9988,0.9996,"36,01,46,547","9,63,74,66,347"
01-03-2022,1,1,0.9991,1,"31,07,92,892","9,69,93,65,114"
28-02-2022,0.9995,1,0.9983,1,"32,00,23,358","9,68,72,74,207"
27-02-2022,1,1,0.9987,0.9995,"29,73,92,424","9,65,08,27,926"
26-02-2022,0.9997,1,0.999,1,"20,53,36,506","9,65,97,28,725"
25-02-2022,1,1,0.999,0.9997,"33,04,33,421","9,67,05,67,963"
24-02-2022,0.9995,1,0.998,1,"64,62,59,155","9,88,50,95,532"
23-02-2022,1,1,0.9985,0.9995,"33,42,97,814","10,07,24,92,019"
22-02-2022,0.9994,1,0.9983,1,"35,88,33,503","10,09,96,48,611"
21-02-2022,0.9994,1,0.9985,0.9993,"41,47,12,522","10,15,59,53,509"
20-02-2022,0.9997,1,0.9976,0.9994,"27,22,69,069","10,18,16,59,739"
19-02-2022,0.9995,1,0.9987,0.9997,"22,81,15,096","10,20,37,91,470"
18-02-2022,0.9991,1,0.9984,0.9995,"32,40,32,810","10,18,45,81,563"
17-02-2022,0.9991,1,0.9982,0.9991,"36,23,12,016","10,21,37,15,784"
16-02-2022,1,1,0.999,0.9991,"29,72,82,124","10,29,62,91,595"
15-02-2022,0.9997,1,0.9992,1,"34,34,75,775","10,37,63,05,259"
14-02-2022,0.9994,1,0.9988,0.9997,"24,47,26,133","10,23,55,48,002"
13-02-2022,0.9999,1,0.9988,0.9994,"18,11,15,043","10,24,80,68,652"
12-02-2022,1,1,0.9987,0.9999,"28,33,22,887","10,25,36,04,989"
11-02-2022,0.9991,1,0.9983,1,"46,09,02,599","10,25,58,82,276"
10-02-2022,0.9998,1,0.9986,0.9991,"46,38,14,426","10,22,45,07,719"
09-02-2022,0.9996,1,0.9991,0.9999,"31,96,86,505","10,17,83,91,439"
08-02-2022,0.9999,1,0.9984,0.9996,"43,84,50,428","10,07,95,82,914"
07-02-2022,1,1,0.9992,0.9999,"39,95,44,172","9,90,47,53,719"
06-02-2022,0.9995,1,0.9992,1,"22,03,17,986","9,76,96,08,818"
05-02-2022,1,1,0.9989,0.9995,"36,26,82,891","9,74,07,22,469"
04-02-2022,1,1,0.9993,1,"34,44,73,090","9,64,74,09,784"
03-02-2022,0.9998,1,0.9989,1,"24,20,35,999","9,61,33,10,907"
02-02-2022,1,1,0.9988,0.9998,"25,50,58,310","9,64,81,78,414"
01-02-2022,1,1,0.999,1,"32,63,02,883","9,62,77,63,706"
31-01-2022,0.9998,1,0.999,1,"27,50,13,830","9,59,61,44,801"
30-01-2022,1,1,0.999,0.9998,"24,72,27,537","9,63,05,94,039"
29-01-2022,1,1,0.9991,1,"37,09,44,328","9,62,18,21,425"
28-01-2022,1,1,0.9987,1,"51,50,09,030","9,58,28,21,062"
27-01-2022,1,1,0.9985,1,"67,05,08,135","9,64,49,48,471"
26-01-2022,1,1,0.9988,1,"63,96,36,624","9,82,36,41,362"
25-01-2022,1,1,0.9992,1,"44,61,17,860","9,72,61,34,352"
24-01-2022,1,1,0.9985,1,"68,57,93,214","9,76,47,70,499"
23-01-2022,0.9999,1,0.9987,1,"40,49,65,759","9,61,90,16,838"
22-01-2022,1,1,0.9985,0.9999,"98,45,17,239","9,61,23,06,561"
21-01-2022,0.9997,1,0.9974,1,"92,51,28,860","9,59,45,06,415"
20-01-2022,0.9996,1,0.9987,0.9997,"46,33,56,217","9,75,86,23,589"
19-01-2022,0.9997,1,0.9985,0.9996,"45,17,58,676","9,75,23,75,770"
18-01-2022,0.9999,1,0.9987,0.9997,"51,22,19,720","9,69,30,59,987"
17-01-2022,1,1,0.9986,0.9999,"64,06,42,937","9,68,12,63,898"
16-01-2022,0.9994,1,0.9982,1,"38,43,53,707","9,61,52,30,808"
15-01-2022,1,1,0.9986,0.9994,"33,94,98,191","9,52,76,75,651"
14-01-2022,0.999,1,0.9984,1,"36,15,37,640","9,50,78,09,668"
13-01-2022,1,1,0.9978,0.9989,"46,81,75,817","9,46,51,29,191"
12-01-2022,1,1,0.9993,1,"41,09,06,024","9,43,30,17,929"
11-01-2022,1,1,0.9988,1,"46,93,85,653","9,36,38,69,361"
10-01-2022,0.9997,1,0.9983,1,"69,19,78,522","9,34,65,25,813"
09-01-2022,0.9997,1,0.9989,0.9997,"32,91,84,018","9,28,40,06,049"
08-01-2022,0.9995,1,0.9987,0.9997,"52,64,73,838","9,35,32,10,120"
07-01-2022,0.9994,1,0.9972,0.9996,"64,08,30,173","9,33,02,20,619"
06-01-2022,0.9999,1,0.9984,0.9995,"55,83,99,863","9,30,94,33,458"
05-01-2022,0.9991,1,0.9981,0.9999,"62,51,53,639","9,37,40,77,281"
04-01-2022,0.9998,1,0.9983,0.9991,"44,90,20,349","9,38,75,23,889"
03-01-2022,1,1,0.9981,0.9997,"42,12,11,916","9,36,30,93,229"
02-01-2022,0.9999,1,0.9985,1,"30,75,04,088","9,33,80,00,280"
01-01-2022,0.9991,1,0.9986,0.9999,"36,96,49,923","9,29,92,93,734"
31-12-2021,1,1,0.9978,0.9991,"38,44,78,346","9,26,10,37,189"
30-12-2021,0.9961,1,0.9952,1,"35,71,82,462","9,25,63,15,328"
29-12-2021,0.9955,1,0.9929,0.9962,"33,45,03,584","9,26,55,06,937"
28-12-2021,0.9998,1,0.992,0.9956,"58,84,48,318","9,27,31,61,463"
27-12-2021,1,1,0.9985,0.9997,"31,89,11,724","9,36,00,25,166"
26-12-2021,1,1,0.9981,1,"34,03,64,048","9,37,12,80,978"
25-12-2021,1,1.01,0.9984,1,"31,26,31,573","9,34,47,57,747"
24-12-2021,1,1.01,0.9999,1,"40,77,49,940","9,31,14,37,570"
23-12-2021,0.9989,1.01,0.9966,1,"55,74,03,282","9,33,53,62,793"
22-12-2021,1,1.01,0.9961,0.9989,"41,63,82,817","9,29,10,49,278"
21-12-2021,1,1.01,1,1,"52,41,47,706","9,33,12,71,460"
20-12-2021,0.9991,1,0.993,1,"64,23,67,212","9,27,62,85,533"
19-12-2021,1,1,0.998,0.9994,"51,77,68,581","9,22,15,15,725"
18-12-2021,0.9962,1,0.9912,1,"67,42,32,500","9,23,26,51,735"
17-12-2021,0.9985,0.9993,0.9899,0.9957,"77,63,95,626","9,15,43,62,532"
16-12-2021,0.9978,1,0.9958,0.9984,"59,91,30,456","9,18,27,37,538"
15-12-2021,1,1.01,0.9945,0.9977,"84,81,52,264","9,15,97,58,062"
14-12-2021,0.9981,1,0.9981,0.9995,"65,64,29,547","9,09,98,61,502"
13-12-2021,1,1,0.9896,0.9982,"80,84,73,625","6,46,33,32,649"
12-12-2021,1,1.01,0.9993,1,"51,25,74,340","6,48,77,65,381"
11-12-2021,0.9981,1.01,0.9938,1,"70,43,69,795","6,49,20,24,983"
10-12-2021,0.9974,1,0.9938,0.9983,"1,06,19,01,854","6,46,37,82,455"
09-12-2021,1,1,0.9947,0.9973,"84,08,93,285","6,45,75,33,795"
08-12-2021,0.9973,1,0.995,1,"68,77,29,167","6,47,95,72,906"
07-12-2021,1.01,1.01,0.9957,0.9973,"61,84,61,504","6,45,72,67,504"
06-12-2021,0.9992,1.01,0.9925,1.01,"1,13,15,69,722","6,53,86,70,161"
05-12-2021,1,1.01,0.9942,0.999,"86,87,90,845","6,46,87,91,929"
04-12-2021,0.9967,1,0.986,1,"1,59,16,11,965","6,47,99,02,374"
03-12-2021,0.9979,1,0.9932,0.9966,"93,87,76,589","6,45,30,41,464"
02-12-2021,0.998,1,0.9956,0.9975,"73,64,40,089","6,45,84,95,464"
01-12-2021,1,1.01,0.9974,0.998,"85,36,67,729","6,46,19,04,434"
30-11-2021,1,1.01,0.9979,1,"86,95,69,979","6,47,63,26,274"
29-11-2021,1,1.01,0.999,1,"57,85,56,874","6,50,53,83,112"
28-11-2021,1,1,0.998,1,"48,35,03,658","6,47,82,99,202"
27-11-2021,0.9992,1,0.9985,1,"42,64,81,175","6,47,75,43,363"
26-11-2021,1,1.01,0.9916,0.9992,"1,00,98,69,669","6,46,97,79,799"
25-11-2021,1,1.01,0.9997,1,"65,73,17,452","6,48,57,26,181"
24-11-2021,1.01,1.01,0.998,1,"77,73,83,225","6,50,55,68,868"
23-11-2021,0.9967,1.01,0.9965,1.01,"70,42,86,294","6,52,36,82,667"
22-11-2021,0.9968,1,0.9904,0.9967,"88,40,64,993","6,45,36,06,676"
21-11-2021,1.01,1.01,0.9969,0.9969,"61,89,43,781","6,45,51,21,631"
20-11-2021,1,1.01,1,1.01,"53,76,40,438","6,52,29,10,253"
19-11-2021,0.9965,1.01,0.9961,1,"60,16,74,071","6,50,62,47,295"
18-11-2021,1,1.01,0.9937,0.9965,"89,87,03,950","6,45,20,05,816"
17-11-2021,1,1.5,0.9958,1,"87,84,28,380","6,49,48,29,812"
16-11-2021,1,3.67,0.991,1,"1,14,11,88,827","6,48,24,37,452"
15-11-2021,1,1.01,0.9955,1,"51,40,44,279","6,47,59,85,837"
14-11-2021,1,1,0.9966,1,"47,76,55,571","6,47,96,71,888"
13-11-2021,1,1,0.998,1,"27,63,31,692","6,48,36,89,602"
12-11-2021,1.01,1.01,0.996,1,"65,91,78,404","6,48,70,59,019"
11-11-2021,0.9881,1.01,0.9881,1.01,"78,58,42,413","6,50,96,16,303"
10-11-2021,0.9995,1.02,0.9846,0.9878,"1,52,08,36,978","6,39,56,58,396"
09-11-2021,1,1,0.999,0.9995,"67,66,49,051","6,47,16,58,613"
08-11-2021,1,1,1,1,"87,36,22,180","6,48,45,86,673"
07-11-2021,1,1,0.9999,1,"69,83,71,098","6,48,63,66,544"
06-11-2021,1,1,0.9994,1,"78,08,00,285","6,48,24,40,017"
05-11-2021,1,1,0.9997,1,"78,84,56,036","6,48,15,65,116"
04-11-2021,1,1,0.9995,1,"1,01,74,51,212","6,47,54,77,884"
03-11-2021,1,1,0.9999,1,"1,15,15,06,611","6,48,02,56,656"
02-11-2021,1,1,0.9995,1,"1,02,98,80,030","6,48,34,31,948"
01-11-2021,0.9998,1,0.9991,1,"86,76,59,185","6,48,10,29,085"
31-10-2021,1,1,0.9988,0.9999,"86,06,83,891","6,47,43,10,632"
30-10-2021,1,1,0.9992,1,"81,57,78,190","6,47,80,24,729"
29-10-2021,1,1,0.9995,1,"1,02,44,29,214","6,47,50,21,396"
28-10-2021,1,1,0.9994,1,"1,32,39,43,225","6,48,08,97,484"
